2023-10-25 15:23:50 | INFO | utils | delete_old_log_files | 380 | Log files with old timestamps have been deleted.
2023-10-25 15:23:53 | INFO | GUI | save_params | 536 | Variables saved to logs\postProcessorSelection.yaml
2023-10-25 15:23:53 | INFO | GUI | process_detailed_csv | 552 | Processing and combining main module data to develop detailed data...
2023-10-25 15:23:53 | INFO | csvxmlgen | detailedcsvgen | 354 | ETL activity data from the main modules...
2023-10-25 15:23:55 | INFO | csvxmlgen | detailedcsvgen | 365 | Processed activity data.
2023-10-25 15:23:55 | INFO | csvxmlgen | detailedcsvgen | 366 | ETL emission data from the main modules...
2023-10-25 15:24:00 | ERROR | csvxmlgen | qc_input_units_and_conversion | 123 | The input units selected through the GUI do not match units in the utilities output.
2023-10-25 15:24:00 | ERROR | GUI | run_pp | 677 | Error in processing raw data: The input units selected through the GUI do not match units in the utilities output.
2023-10-25 15:25:11 | INFO | GUI | __init__ | 112 | .........................Post-processing initialed.........................
2023-10-25 15:25:11 | INFO | utils | delete_old_log_files | 380 | Log files with old timestamps have been deleted.
2023-10-25 15:25:12 | INFO | GUI | save_params | 536 | Variables saved to logs\postProcessorSelection.yaml
2023-10-25 15:25:12 | INFO | GUI | process_detailed_csv | 552 | Processing and combining main module data to develop detailed data...
2023-10-25 15:25:12 | INFO | csvxmlgen | detailedcsvgen | 372 | ETL activity data from the main modules...
2023-10-25 15:25:14 | INFO | csvxmlgen | detailedcsvgen | 382 | Processed activity data.
2023-10-25 15:25:14 | INFO | csvxmlgen | detailedcsvgen | 383 | ETL emission data from the main modules...
2023-10-25 15:25:26 | INFO | csvxmlgen | detailedcsvgen | 394 | Processed emission data.
2023-10-25 15:25:37 | INFO | GUI | process_detailed_csv | 558 | Saved detailed activity and emission data to C:\Users\a-bibeka\Documents\Projects_Temp\Utilities_FY24\Summary\activityDetailed.csv and C:\Users\a-bibeka\Documents\Projects_Temp\Utilities_FY24\Summary\emissionDetailed.csv, respectively.
2023-10-25 15:25:37 | INFO | GUI | process_aggregate_tables | 602 | Aggregating detailed activity to develop aggregate tables table...
2023-10-25 15:25:37 | INFO | csvxmlgen | aggxlsxgen | 412 | Aggregating detailed activity and emission data...
2023-10-25 15:25:39 | INFO | csvxmlgen | aggxlsxgen | 492 | Aggregated detailed activity and emission data.
2023-10-25 15:25:48 | INFO | GUI | process_aggregate_tables | 610 | Saved aggregate tables to C:\Users\a-bibeka\Documents\Projects_Temp\Utilities_FY24\Summary\aggregateTable.xlsx.
2023-10-25 15:25:48 | INFO | GUI | process_xml_files | 629 | Processing and combining detailed activity and emission data to develop XML staging table...
2023-10-25 15:25:48 | INFO | csvxmlgen | aggsccgen | 525 | Aggregating detailed activity and emission data to NEI SCCs.
2023-10-25 15:25:51 | INFO | csvxmlgen | aggsccgen | 574 | Aggregated detailed activity and emission data to NEI SCC.
2023-10-25 15:25:51 | INFO | GUI | process_xml_files | 641 | Saved XML staging table to C:\Users\a-bibeka\Documents\Projects_Temp\Utilities_FY24\Summary\xmlSCCStagingTable.csv.
2023-10-25 15:25:51 | INFO | GUI | process_xml_files | 643 | Using Metadata and XML staging table to develop XML...
2023-10-25 15:25:51 | INFO | GUI | process_xml_files | 659 | Saved XML to C:\Users\a-bibeka\Documents\Projects_Temp\Utilities_FY24\Summary\AUS2020swkd.xml.
2023-10-25 15:25:51 | INFO | GUI | run_pp | 685 | Post-processing ended
